shelfmark,term,signal_weight,section,snippet,detail_url,viewer_url,score
Cappon.107.pt.1,Machiavelli autografo,10.0,Bibliographic References:,"Low Quality Bibliographic References: 1) Marchand, Jean-Jacques L' autografo del «Consulto per l'elezione del capitano delle fanterie» di Niccolò Machiavelli , In Bibliofilia. Rivista di storia del libro e di bibliografia",https://digi.vatlib.it/mss/detail/Cappon.107.pt.1,https://digi.vatlib.it/view/MSS_Cappon.107.pt.1,5.5
Cappon.107.pt.2,Machiavelli autografo,10.0,Bibliographic References:,"Bibliographic References: 1) Marchand, Jean-Jacques L' autografo del «Consulto per l'elezione del capitano delle fanterie» di Niccolò Machiavelli , In Bibliofilia. Rivista di storia del libro e di bibliografia",https://digi.vatlib.it/mss/detail/Cappon.107.pt.2,https://digi.vatlib.it/view/MSS_Cappon.107.pt.2,5.5
Urb.lat.1516-1520,Machiavelli autografo,10.0,General Data,"1) Urb.lat.1516, ff. 1r-8v: Gaudenzi, Paganino, 1595-1649 De religione et virtute ex animo colenda. Oratio contra Machiavellum eiusque discipulum [Kaspar Schoppe?].",https://digi.vatlib.it/mss/detail/Urb.lat.1516-1520,https://digi.vatlib.it/view/MSS_Urb.lat.1516-1520,11.5
Chig.L.V.176,Dante autografo,10.0,General Data,1) Miscellanea di testi dante schi e petrarcheschi: il canone autografo di Giovanni Boccaccio. sec. XIV med.,https://digi.vatlib.it/mss/detail/Chig.L.V.176,https://digi.vatlib.it/view/MSS_Chig.L.V.176,11.5
Urb.lat.1585,Dante autografo,10.0,General Data,"Low Quality 1) 82r-86v, 136r-139v, 181r-185v: Gaudenzi, Paganino, 1595-1649 Poesie, osservazioni e dissertazioni varie su Dante Alighieri; riduzione a versi sciolti di alcuni canti dell'Inferno e del Paradiso della Divina Commedia.",https://digi.vatlib.it/mss/detail/Urb.lat.1585,https://digi.vatlib.it/view/MSS_Urb.lat.1585,10.0
Urb.lat.1618,Dante autografo,10.0,General Data,"1) 41r-42v, 45r, 170r-171v: Gaudenzi, Paganino, 1595-1649 Poesie, osservazioni e dissertazioni varie su Dante Alighieri; riduzione a versi sciolti di alcuni canti dell'Inferno e del Paradiso della Divina Commedia.",https://digi.vatlib.it/mss/detail/Urb.lat.1618,https://digi.vatlib.it/view/MSS_Urb.lat.1618,10.0
Arch.Cap.S.Pietro.H.2,Dante inedito,10.0,Bibliographic References:,"Bibliographic References: 1) Balboni, Dante , sac., 1917-2004 La Cattedra lignea di S. Pietro in Vaticano. La «cattedra di S. Pietro» in un testo inedito di Giacomo Grimaldi, In Memorie della Pontificia Accademia Romana di Archeologia 1971",https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.H.2,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.H.2,5.5
Vat.lat.3536,Dante inedito,10.0,Bibliographic References:,"Bibliographic References: 1) Balboni, Dante , sac., 1917-2004 La Cattedra lignea di S. Pietro in Vaticano. La «cattedra di S. Pietro» in un testo inedito di Giacomo Grimaldi, In Memorie della Pontificia Accademia Romana di Archeologia 1971",https://digi.vatlib.it/mss/detail/Vat.lat.3536,https://digi.vatlib.it/view/MSS_Vat.lat.3536,5.5
Vat.lat.5747,Dante inedito,10.0,Bibliographic References:,"Bibliographic References: 1) Balboni, Dante , sac., 1917-2004 La Cattedra lignea di S. Pietro in Vaticano. La «cattedra di S. Pietro» in un testo inedito di Giacomo Grimaldi, In Memorie della Pontificia Accademia Romana di Archeologia 1971",https://digi.vatlib.it/mss/detail/Vat.lat.5747,https://digi.vatlib.it/view/MSS_Vat.lat.5747,5.5
Chig.L.V.176,Petrarca autografo,10.0,General Data,1) Miscellanea di testi danteschi e petrarcheschi: il canone autografo di Giovanni Boccaccio. sec. XIV med.,https://digi.vatlib.it/mss/detail/Chig.L.V.176,https://digi.vatlib.it/view/MSS_Chig.L.V.176,11.5
