shelfmark,aggregate_score,signal_count,signals,non_bibliographic_hits,detail_url,viewer_url,best_snippet
Barb.or.153.pt.A,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Barb.or.153.pt.A,https://digi.vatlib.it/view/MSS_Barb.or.153.pt.A,"1) Glossario di caratteri cinesi tratto dalla Guia do pecador; Marcos Jorge, De Doctrina Christaã. sec. XVII"
Capp.Sist.682,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Capp.Sist.682,https://digi.vatlib.it/view/MSS_Capp.Sist.682,1) 28r-35r: Regole per il Puntatore.
Cappon.2,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Cappon.2,https://digi.vatlib.it/view/MSS_Cappon.2,"1) 1r-9r: Cicero, Marcus Tullius, 106-43 a.C. Oratio pro lege Manilia vel vulgo Pompeiana dicitur"
Chig.C.IV.112,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.C.IV.112,https://digi.vatlib.it/view/MSS_Chig.C.IV.112,"1) 14r-20v: Oratio ad Mariam Virginem, Pericopae Evangelii secundum Iohannem."
Chig.Q.IV.36,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.Q.IV.36,https://digi.vatlib.it/view/MSS_Chig.Q.IV.36,"1) 3r-4r: Bani, Cosimo, n. c. 1650"
Chig.Q.IV.37,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.Q.IV.37,https://digi.vatlib.it/view/MSS_Chig.Q.IV.37,"1) 21r-24r: Gasparini, Francesco, 1661-1727"
Chig.Q.IV.38,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.Q.IV.38,https://digi.vatlib.it/view/MSS_Chig.Q.IV.38,"1) 27r-34r: Masini, Antonio, m. 1678 2) 93r-96r: Pasquini, Bernardo, 1637-1710"
Chig.Q.IV.39,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.Q.IV.39,https://digi.vatlib.it/view/MSS_Chig.Q.IV.39,"1) 15r-18r: Perti, Giacomo Antonio, 1661-1756 2) 81r-84r: Perti, Giacomo Antonio, 1661-1756"
Chig.Q.IV.45,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.Q.IV.45,https://digi.vatlib.it/view/MSS_Chig.Q.IV.45,"1) Arie, ariette, canti e madrigali di Alessandro Scarlatti. sec. XVII 2) 39r-42v: 3) 43r-44v:"
Chig.Q.IV.49,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.Q.IV.49,https://digi.vatlib.it/view/MSS_Chig.Q.IV.49,1) 17r-20r: 2) 21r-22r:
Chig.Q.VI.80,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.Q.VI.80,https://digi.vatlib.it/view/MSS_Chig.Q.VI.80,Low Quality 1) 33v-34r:
Chig.Q.VIII.202,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.Q.VIII.202,https://digi.vatlib.it/view/MSS_Chig.Q.VIII.202,"1) 588r: Rossini, Gioacchino, 1792-1868 Edoardo e Cristina."
Chig.R.VI.44,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Chig.R.VI.44,https://digi.vatlib.it/view/MSS_Chig.R.VI.44,1) 201r-244v: Evangelium secundum Iohannem.
Ott.lat.94,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ott.lat.94,https://digi.vatlib.it/view/MSS_Ott.lat.94,"1) 193v-207v: Liber imperfectus, 36 homiliis constans, per anni circulum, a Dominica I Adventus, ad Dominicam 2 post Pascha."
Ott.lat.800,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ott.lat.800,https://digi.vatlib.it/view/MSS_Ott.lat.800,"1) 253r-v: Paulus de Liazariis, m. 1356. Opere spurie e dubbie Quaestio Pauli [de Liazariis ?]."
Ott.lat.1710,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ott.lat.1710,https://digi.vatlib.it/view/MSS_Ott.lat.1710,"1) 115v-135r: Cicero, Marcus Tullius, 106-43 a.C. Pro Sestio oratio."
Ott.lat.2358,9.5,1,testo mutilo,1,https://digi.vatlib.it/mss/detail/Ott.lat.2358,https://digi.vatlib.it/view/MSS_Ott.lat.2358,"1) Dante Alighieri, Divina Commedia, con commento di Iacopo Della Lana. sec. XIV med."
