shelfmark,aggregate_score,signal_count,signals,non_bibliographic_hits,detail_url,viewer_url,best_snippet
Cappon.147,33.0,5,anonimo; autografo; frammento; minuta; postille,5,https://digi.vatlib.it/mss/detail/Cappon.147,https://digi.vatlib.it/view/MSS_Cappon.147,"1) p. 137(2): Salutati, Coluccio, 1331-1406 Oratoribus Comitis Virtutum."
Barb.lat.4231,30.0,4,anonimo; bozza; frammento; ignoto,4,https://digi.vatlib.it/mss/detail/Barb.lat.4231,https://digi.vatlib.it/view/MSS_Barb.lat.4231,"Low Quality 1) 225r-v: De Luca, Severo, sec. XVII"
Arch.Cap.S.Pietro.E.17,27.5,3,fragmentum; frammento; rescriptus,3,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.E.17,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.E.17,1) 142r-143: Fragmentum bullae an. 1588 de pensione in favorem Fabii Rosetti clerici rom.
Arch.Cap.S.Pietro.F.34,25.5,3,fragmentum; frammento; rasura,3,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.F.34,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.F.34,1) 173v-185v: Interpretatione nominun in evangelio 2) Ir-IIv: Fragmentum Acta s. Caeciliae
Cappon.283.pt.1,24.5,3,autografo; inedita; inedito,3,https://digi.vatlib.it/mss/detail/Cappon.283.pt.1,https://digi.vatlib.it/view/MSS_Cappon.283.pt.1,"1) 117r-118r: Bruni, Filippo, Sch.P. (d.S.P.) f. 1745-1763 <Lettera di Filippo Bruni con notizie su un manoscritto con un inedito di Cecco di Ascoli>"
Barb.lat.4221,23.5,3,attribuzione; bozza; frammento,3,https://digi.vatlib.it/mss/detail/Barb.lat.4221,https://digi.vatlib.it/view/MSS_Barb.lat.4221,"1) 33r: Aria anonima. 2) 57r: Pasqualini, Marcantonio, 1614-1691. Opere spurie e dubbie"
Cappon.281.pt.1,23.5,3,anonimo; inedita; minuta,3,https://digi.vatlib.it/mss/detail/Cappon.281.pt.1,https://digi.vatlib.it/view/MSS_Cappon.281.pt.1,"1) f. 17r-20v: Sigonio, Carlo, m. 1584 <Caroli Sigonii Mutiniensis opera omnia edita et inedita >"
Chig.Q.VIII.195,22.5,3,anonimo; frammento; ignoto,3,https://digi.vatlib.it/mss/detail/Chig.Q.VIII.195,https://digi.vatlib.it/view/MSS_Chig.Q.VIII.195,1) 52r-53r: Lotario
Barb.lat.4151,22.0,3,attribuzione; bozza; frammento,3,https://digi.vatlib.it/mss/detail/Barb.lat.4151,https://digi.vatlib.it/view/MSS_Barb.lat.4151,1) 64r-v: Aria anonima.
Borg.lat.484,22.0,3,anonimo; frammento; minuta,3,https://digi.vatlib.it/mss/detail/Borg.lat.484,https://digi.vatlib.it/view/MSS_Borg.lat.484,Low Quality 1) 131r:
