shelfmark,term,signal_weight,section,snippet,detail_url,viewer_url,score
Arch.Cap.S.Pietro.E.17,fragmentum,7.0,General Data,1) 142r-143: Fragmentum bullae an. 1588 de pensione in favorem Fabii Rosetti clerici rom.,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.E.17,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.E.17,8.5
Arch.Cap.S.Pietro.E.19,fragmentum,7.0,General Data,1) 1v: Fragmentum epist. S. Pauli ad Thessalonicenses II,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.E.19,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.E.19,8.5
Arch.Cap.S.Pietro.F.4,fragmentum,7.0,General Data,1) Iv-IIr: Fragmentum expositionis iuris: de venditione,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.F.4,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.F.4,8.5
Arch.Cap.S.Pietro.F.11.pt.B,fragmentum,7.0,General Data,1) Vetus Testamentum. Libri Numerorum fragmentum . Sec. VIII,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.F.11.pt.B,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.F.11.pt.B,8.5
Arch.Cap.S.Pietro.F.18,fragmentum,7.0,General Data,1) Iv: Fragmentum bullae de beneficio conferendo ad relationem diaconi card. tituli s. Angeli (Richardi de Annibaldis),https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.F.18,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.F.18,8.5
Arch.Cap.S.Pietro.F.34,fragmentum,7.0,General Data,1) Ir-IIv: Fragmentum Acta s. Caeciliae,https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.F.34,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.F.34,8.5
Arch.Cap.S.Pietro.F.36,fragmentum,7.0,General Data,"1) 1v: Sixtus PP. V, 1521-1590 Bulla in favorem Ioannis Baptista Banchi",https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.F.36,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.F.36,8.5
Arch.Cap.S.Pietro.G.11,fragmentum,7.0,General Data,"1) 86v-87r: Sidonius, Caius Sollius Apollinaris, f. 431-487 < Fragmentum epistulae ""Sidonius Thaumasto suo salutem"", Liber V, ep. VII>",https://digi.vatlib.it/mss/detail/Arch.Cap.S.Pietro.G.11,https://digi.vatlib.it/view/MSS_Arch.Cap.S.Pietro.G.11,8.5
Barb.gr.4,fragmentum,7.0,General Data,"1) 20r: Euripides, 480-407 a.C. Euripidis Bellerophontis fragmentum 305. 2) 186av, 1r-3v: Theognis Megareus, sec. VI a.C. στίχοι Θεόγνιδος, i.e. Ἐλεγείων α´, 173-182, Σωκράτους fragmentum .",https://digi.vatlib.it/mss/detail/Barb.gr.4,https://digi.vatlib.it/view/MSS_Barb.gr.4,7.0
Barb.gr.19,fragmentum,7.0,General Data,1) 89r: in die Ass. B. M. V.,https://digi.vatlib.it/mss/detail/Barb.gr.19,https://digi.vatlib.it/view/MSS_Barb.gr.19,8.5
Barb.gr.22,fragmentum,7.0,General Data,"1) 66r: Sophocles, sec. V a.C. <Sophoclis Aiacis> versus 1-13.",https://digi.vatlib.it/mss/detail/Barb.gr.22,https://digi.vatlib.it/view/MSS_Barb.gr.22,8.5
Barb.gr.23,fragmentum,7.0,General Data,"1) 1r-344r: Themistius, c. 317-c. 388 Fragmentum prologi Themistiani in analytica posteriora, Themistii ad Aristotelis physicae libros I-II paraphrasis.",https://digi.vatlib.it/mss/detail/Barb.gr.23,https://digi.vatlib.it/view/MSS_Barb.gr.23,8.5
